ACCURACY,COMPARISON,,,,,,,,,,,,,,,,,,,
Dataset,Task,GPT-4o,Unimodal - Image,Unimodal - Text,Concat,Late Fusion,Incongruity Fusion,MULT,MMOE,Fusion-MoE,,,,Fusion-MoE - GPT4o,,Gemini-,o4-mini,Gemini-,Qwen3-V,
MET-Meme,intention,52%,45%,40%,42%,42%,37%,45%,40%,44%,-5%,-12%,0%,-8%,,48%,56%,46%,50%,-10%
MET-Meme,sentiment,28%,39%,36%,44%,40%,48%,37%,48%,45%,9%,20%,6%,17%,,34%,32%,36%,32%,16%
MET-Meme,hate,76%,84%,82%,84%,85%,87%,86%,87%,86%,4%,11%,2%,10%,,74%,86%,76%,82%,5%
MET-Meme,metaphor,58%,81%,76%,83%,82%,88%,85%,88%,88%,6%,30%,6%,30%,,72%,74%,64%,64%,24%
Memotion,humour,68%,54%,49%,58%,58%,66%,54%,66%,65%,12%,-2%,11%,-3%,,68%,66%,46%,68%,-2%
Memotion,sarcasm,52%,37%,38%,33%,34%,47%,44%,46%,42%,9%,-6%,4%,-10%,,50%,56%,44%,54%,-8%
Memotion,offensive,38%,53%,54%,52%,51%,52%,58%,52%,48%,-1%,14%,-6%,10%,,46%,42%,38%,40%,12%
Memotion,motivational,52%,57%,60%,61%,60%,68%,65%,68%,62%,8%,16%,2%,10%,,54%,52%,46%,54%,14%
Memotion,sentiment,30%,45%,46%,44%,49%,56%,50%,57%,46%,11%,27%,0%,16%,,26%,28%,22%,24%,33%
MMSD,sarcasm,80%,78%,78%,83%,82%,84%,83%,84%,83%,6%,4%,6%,3%,,86%,84%,74%,58%,26%
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
MACRO-F1,COMPARISON,,,,,,,,,,,,,,,,,,,
Dataset,Task,GPT-4o,Unimodal - Image,Unimodal - Text,Concat,Late Fusion,Incongruity Fusion,MULT,MMOE,Fusion-MoE,,,,Fusion-MoE - GPT4o,,Gemini-,o4-mini,Gemini-,Qwen3-V,
MET-Meme,intention,35%,32%,30%,32%,31%,21%,27%,27%,29%,-5%,-8%,-3%,-6%,,34%,45%,27%,40%,
MET-Meme,sentiment,28%,25%,24%,31%,28%,25%,24%,27%,29%,2%,-2%,4%,1%,,33%,33%,39%,30%,
MET-Meme,hate,30%,39%,39%,38%,38%,37%,41%,38%,38%,-1%,9%,-2%,8%,,36%,44%,30%,31%,
MET-Meme,metaphor,37%,81%,76%,83%,82%,88%,85%,88%,88%,6%,51%,6%,51%,,71%,73%,64%,57%,
Memotion,humour,27%,36%,33%,36%,36%,27%,36%,28%,30%,-8%,1%,-6%,3%,,31%,30%,21%,32%,
Memotion,sarcasm,27%,33%,33%,30%,32%,24%,28%,25%,29%,-8%,-2%,-5%,2%,,39%,44%,39%,49%,
Memotion,offensive,24%,32%,30%,33%,34%,35%,24%,35%,26%,3%,11%,-6%,2%,,31%,60%,29%,27%,
Memotion,motivational,38%,49%,48%,47%,51%,41%,43%,41%,53%,-7%,4%,4%,15%,,39%,38%,37%,39%,
Memotion,sentiment,27%,32%,31%,31%,31%,25%,37%,26%,34%,-6%,-1%,2%,8%,,24%,27%,22%,19%,
MMSD,sarcasm,80%,78%,78%,83%,82%,84%,83%,84%,83%,6%,4%,6%,3%,,86%,84%,74%,57%,
,,,,,,,,,,,,,,,,,,,,
